iter: 1100   # psnr: 26.6786  # ssim: 0.9480  
iter: 1110   # psnr: 27.1350  # ssim: 0.9509  
iter: 1120   # psnr: 26.9548  # ssim: 0.9426  
iter: 1130   # psnr: 27.4847  # ssim: 0.9560  
iter: 1140   # psnr: 27.7294  # ssim: 0.9600  
iter: 1150   # psnr: 27.3058  # ssim: 0.9581  
iter: 1160   # psnr: 27.4716  # ssim: 0.9573  
iter: 1170   # psnr: 28.0593  # ssim: 0.9562  
iter: 1180   # psnr: 27.0133  # ssim: 0.9585  
iter: 1190   # psnr: 27.1060  # ssim: 0.9536  
iter: 1200   # psnr: 26.5122  # ssim: 0.9540  
iter: 1210   # psnr: 26.2311  # ssim: 0.9518  
iter: 1220   # psnr: 24.4777  # ssim: 0.9391  
iter: 1230   # psnr: 27.6748  # ssim: 0.9575  
iter: 1240   # psnr: 28.3294  # ssim: 0.9622  
iter: 1250   # psnr: 27.5034  # ssim: 0.9552  
iter: 1260   # psnr: 26.9715  # ssim: 0.9488  
iter: 1270   # psnr: 27.0466  # ssim: 0.9565  
iter: 1280   # psnr: 26.6349  # ssim: 0.9549  
iter: 1290   # psnr: 27.7305  # ssim: 0.9561  
iter: 1300   # psnr: 27.9112  # ssim: 0.9606  
iter: 1310   # psnr: 28.5257  # ssim: 0.9653  
iter: 1320   # psnr: 26.2151  # ssim: 0.9496  
iter: 1330   # psnr: 27.5758  # ssim: 0.9622  
iter: 1340   # psnr: 27.6135  # ssim: 0.9586  
iter: 1350   # psnr: 27.0298  # ssim: 0.9594  
iter: 1360   # psnr: 27.5317  # ssim: 0.9570  
iter: 1370   # psnr: 27.5884  # ssim: 0.9496  
iter: 1380   # psnr: 28.2081  # ssim: 0.9591  
iter: 1390   # psnr: 27.8919  # ssim: 0.9580  
iter: 1400   # psnr: 27.2507  # ssim: 0.9542  
iter: 1410   # psnr: 27.3554  # ssim: 0.9568  
iter: 1420   # psnr: 26.5365  # ssim: 0.9491  
iter: 1430   # psnr: 28.3133  # ssim: 0.9615  
iter: 1440   # psnr: 27.7986  # ssim: 0.9568  
iter: 1450   # psnr: 27.6753  # ssim: 0.9535  
iter: 1460   # psnr: 28.7810  # ssim: 0.9623  
iter: 1470   # psnr: 28.3370  # ssim: 0.9596  
iter: 1480   # psnr: 27.0934  # ssim: 0.9541  
iter: 1490   # psnr: 27.5119  # ssim: 0.9509  
iter: 1500   # psnr: 28.1479  # ssim: 0.9596  
iter: 1510   # psnr: 26.9057  # ssim: 0.9532  
iter: 1520   # psnr: 27.9555  # ssim: 0.9587  
iter: 1530   # psnr: 28.6961  # ssim: 0.9612  
iter: 1540   # psnr: 28.7229  # ssim: 0.9623  
iter: 1550   # psnr: 27.3882  # ssim: 0.9525  
iter: 1560   # psnr: 28.3483  # ssim: 0.9605  
iter: 1570   # psnr: 27.4968  # ssim: 0.9484  
iter: 1580   # psnr: 28.1733  # ssim: 0.9621  
iter: 1590   # psnr: 25.5693  # ssim: 0.9489  
iter: 1600   # psnr: 27.6936  # ssim: 0.9607  
iter: 1610   # psnr: 27.8917  # ssim: 0.9576  
iter: 1620   # psnr: 27.4732  # ssim: 0.9544  
iter: 1630   # psnr: 28.7457  # ssim: 0.9664  
iter: 1640   # psnr: 28.0936  # ssim: 0.9586  
iter: 1650   # psnr: 28.2868  # ssim: 0.9642  
iter: 1660   # psnr: 25.9222  # ssim: 0.9525  
iter: 1670   # psnr: 27.0401  # ssim: 0.9587  
iter: 1680   # psnr: 27.7001  # ssim: 0.9573  
iter: 1690   # psnr: 28.1942  # ssim: 0.9574  
iter: 1700   # psnr: 26.7822  # ssim: 0.9525  
iter: 1710   # psnr: 28.1604  # ssim: 0.9637  
iter: 1720   # psnr: 27.8347  # ssim: 0.9618  
iter: 1730   # psnr: 28.5077  # ssim: 0.9607  
iter: 1740   # psnr: 27.8116  # ssim: 0.9616  
iter: 1750   # psnr: 26.9981  # ssim: 0.9592  
iter: 1760   # psnr: 27.6851  # ssim: 0.9542  
iter: 1770   # psnr: 28.4500  # ssim: 0.9629  
iter: 1780   # psnr: 27.9761  # ssim: 0.9629  
iter: 1790   # psnr: 27.4140  # ssim: 0.9589  
iter: 1800   # psnr: 28.1083  # ssim: 0.9625  
iter: 1810   # psnr: 27.4496  # ssim: 0.9613  
iter: 1820   # psnr: 27.5443  # ssim: 0.9581  
iter: 1830   # psnr: 27.4277  # ssim: 0.9590  
iter: 1840   # psnr: 27.8755  # ssim: 0.9583  
iter: 1850   # psnr: 27.3237  # ssim: 0.9609  
